x-axis,y-axis
-5,108
-4.898989899,103.4045506
-4.797979798,98.91113152
-4.696969697,94.51974288
-4.595959596,90.23038465
-4.494949495,86.04305683
-4.393939394,81.95775941
-4.292929293,77.9744924
-4.191919192,74.09325579
-4.090909091,70.31404959
-3.98989899,66.63687379
-3.888888889,63.0617284
-3.787878788,59.58861341
-3.686868687,56.21752882
-3.585858586,52.94847465
-3.484848485,49.78145087
-3.383838384,46.7164575
-3.282828283,43.75349454
-3.181818182,40.89256198
-3.080808081,38.13365983
-2.97979798,35.47678808
-2.878787879,32.92194674
-2.777777778,30.4691358
-2.676767677,28.11835527
-2.575757576,25.86960514
-2.474747475,23.72288542
-2.373737374,21.6781961
-2.272727273,19.73553719
-2.171717172,17.89490868
-2.070707071,16.15631058
-1.96969697,14.51974288
-1.868686869,12.98520559
-1.767676768,11.5526987
-1.666666667,10.22222222
-1.565656566,8.993776145
-1.464646465,7.867360473
-1.363636364,6.842975207
-1.262626263,5.920620345
-1.161616162,5.100295888
-1.060606061,4.382001837
-0.95959596,3.76573819
-0.858585859,3.251504948
-0.757575758,2.839302112
-0.656565657,2.529129681
-0.555555556,2.320987654
-0.454545455,2.214876033
-0.353535354,2.210794817
-0.252525253,2.308744006
-0.151515152,2.5087236
-0.050505051,2.810733599
0.050505051,3.214774003
0.151515152,3.720844812
0.252525253,4.328946026
0.353535354,5.039077645
0.454545455,5.851239669
0.555555556,6.765432099
0.656565657,7.781654933
0.757575758,8.899908173
0.858585859,10.12019182
0.95959596,11.44250587
1.060606061,12.86685032
1.161616162,14.39322518
1.262626263,16.02163045
1.363636364,17.75206612
1.464646465,19.58453219
1.565656566,21.51902867
1.666666667,23.55555556
1.767676768,25.69411285
1.868686869,27.93470054
1.96969697,30.27731864
2.070707071,32.72196715
2.171717172,35.26864606
2.272727273,37.91735537
2.373737374,40.66809509
2.474747475,43.52086522
2.575757576,46.47566575
2.676767677,49.53249668
2.777777778,52.69135802
2.878787879,55.95224977
2.97979798,59.31517192
3.080808081,62.78012448
3.181818182,66.34710744
3.282828283,70.0161208
3.383838384,73.78716458
3.484848485,77.66023875
3.585858586,81.63534333
3.686868687,85.71247832
3.787878788,89.89164371
3.888888889,94.17283951
3.98989899,98.55606571
4.090909091,103.0413223
4.191919192,107.6286093
4.292929293,112.3179267
4.393939394,117.1092746
4.494949495,122.0026528
4.595959596,126.9980614
4.696969697,132.0955005
4.797979798,137.2949699
4.898989899,142.5964697
5,148
