x-axis,y-axis
-5,-102
-4.898989899,-97.40455056
-4.797979798,-92.91113152
-4.696969697,-88.51974288
-4.595959596,-84.23038465
-4.494949495,-80.04305683
-4.393939394,-75.95775941
-4.292929293,-71.9744924
-4.191919192,-68.09325579
-4.090909091,-64.31404959
-3.98989899,-60.63687379
-3.888888889,-57.0617284
-3.787878788,-53.58861341
-3.686868687,-50.21752882
-3.585858586,-46.94847465
-3.484848485,-43.78145087
-3.383838384,-40.7164575
-3.282828283,-37.75349454
-3.181818182,-34.89256198
-3.080808081,-32.13365983
-2.97979798,-29.47678808
-2.878787879,-26.92194674
-2.777777778,-24.4691358
-2.676767677,-22.11835527
-2.575757576,-19.86960514
-2.474747475,-17.72288542
-2.373737374,-15.6781961
-2.272727273,-13.73553719
-2.171717172,-11.89490868
-2.070707071,-10.15631058
-1.96969697,-8.519742883
-1.868686869,-6.985205591
-1.767676768,-5.552698704
-1.666666667,-4.222222222
-1.565656566,-2.993776145
-1.464646465,-1.867360473
-1.363636364,-0.842975207
-1.262626263,0.079379655
-1.161616162,0.899704112
-1.060606061,1.617998163
-0.95959596,2.23426181
-0.858585859,2.748495052
-0.757575758,3.160697888
-0.656565657,3.470870319
-0.555555556,3.679012346
-0.454545455,3.785123967
-0.353535354,3.789205183
-0.252525253,3.691255994
-0.151515152,3.4912764
-0.050505051,3.189266401
0.050505051,2.785225997
0.151515152,2.279155188
0.252525253,1.671053974
0.353535354,0.960922355
0.454545455,0.148760331
0.555555556,-0.765432099
0.656565657,-1.781654933
0.757575758,-2.899908173
0.858585859,-4.120191817
0.95959596,-5.442505867
1.060606061,-6.866850321
1.161616162,-8.393225181
1.262626263,-10.02163045
1.363636364,-11.75206612
1.464646465,-13.58453219
1.565656566,-15.51902867
1.666666667,-17.55555556
1.767676768,-19.69411285
1.868686869,-21.93470054
1.96969697,-24.27731864
2.070707071,-26.72196715
2.171717172,-29.26864606
2.272727273,-31.91735537
2.373737374,-34.66809509
2.474747475,-37.52086522
2.575757576,-40.47566575
2.676767677,-43.53249668
2.777777778,-46.69135802
2.878787879,-49.95224977
2.97979798,-53.31517192
3.080808081,-56.78012448
3.181818182,-60.34710744
3.282828283,-64.0161208
3.383838384,-67.78716458
3.484848485,-71.66023875
3.585858586,-75.63534333
3.686868687,-79.71247832
3.787878788,-83.89164371
3.888888889,-88.17283951
3.98989899,-92.55606571
4.090909091,-97.04132231
4.191919192,-101.6286093
4.292929293,-106.3179267
4.393939394,-111.1092746
4.494949495,-116.0026528
4.595959596,-120.9980614
4.696969697,-126.0955005
4.797979798,-131.2949699
4.898989899,-136.5964697
5,-142
